Phase,Time_est,Region,country,Population_est,Unnamed: 5,country_name,country_a3
The first immigration wave,1571,Southeast Asia,Philippines,150,,Philippines,PHL
The first immigration wave,1588,Southeast Asia,Philippines,10000,,Philippines,PHL
The first immigration wave,1603,Southeast Asia,Philippines,25000,,Philippines,PHL
The first immigration wave,1620,East Asia,Japan,3000,,Japan,JPN
The first immigration wave,1619,Southeast Asia,Indonesia,400,,Indonesia,IDN
The first immigration wave,1627,Southeast Asia,Indonesia,3500,,Indonesia,IDN
The first immigration wave,1658,Southeast Asia,Indonesia,5000,,Indonesia,IDN
The first immigration wave,1609,Southeast Asia,Indonesia,4000,,Indonesia,IDN
The first immigration wave,1560,Southeast Asia,Thailand,2000,,,
The first immigration wave,1560,Southeast Asia,Myanmar,30000,,Myanmar,MMR
The first immigration wave,1815,Southeast Asia,Indonesia,52394,,Indonesia,IDN
The first immigration wave,1815,Southeast Asia,Indonesia,94441,,Indonesia,IDN
The first immigration wave,1856,Southeast Asia,Indonesia,40806,,Indonesia,IDN
The first immigration wave,1856,Southeast Asia,Indonesia,135749,,Indonesia,IDN
The first immigration wave,1820,Southeast Asia,India,150000,,India,IND
The first immigration wave,1821,Southeast Asia,Thailand,700000,,,
The first immigration wave,1830,Southeast Asia,Indonesia,150000,,Indonesia,IDN
The first immigration wave,1830,Southeast Asia,Vietnam,100000,,Vietnam,VNM
The first immigration wave,1830,Southeast Asia,Myanmar,130000,,Myanmar,MMR
The first immigration wave,1830,Southeast Asia,Malaysia ,50000,,,
The second immigration wave,1920,North America,United States of America,400000,,United States of America,US1
The second immigration wave,1920,North America,United States of America,400000,,United States of America,US1
The second immigration wave,1920,North America,United States of America,400000,,United States of America,US1
The second immigration wave,1920,North America,United States of America,400000,,United States of America,US1
The second immigration wave,1920,North America,United States of America,400000,,United States of America,US1
The second immigration wave,1920,North America,United States of America,400000,,United States of America,US1
The second immigration wave,1920,North America,United States of America,400000,,United States of America,US1
The second immigration wave,1920,Australia,Australia,400000,,Australia,AU1
The second immigration wave,1920,Australia,Australia,400000,,Australia,AU1
The second immigration wave,1920,Australia,Australia,400000,,Australia,AU1
The second immigration wave,1920,Australia,Australia,400000,,Australia,AU1
The second immigration wave,1920,Australia,Australia,400000,,Australia,AU1
The second immigration wave,1920,Australia,Australia,400000,,Australia,AU1
The second immigration wave,1920,Latin America,South America,400000,,,
The second immigration wave,1920,Korea,Korea,10000,,,
The second immigration wave,1920,Siam,Siam,1000000,,,
The second immigration wave,1930,Indonesia,Indonesia,1000000,,Indonesia,IDN
The second immigration wave,1930,Malaysia,Malaysia,1000000,,Malaysia,MYS
The second immigration wave,1930,Singapore,Singapore,1000000,,Singapore,SGP
The second immigration wave,1930,Burma,Myanmar,100000,,Myanmar,MMR
The second immigration wave,1920,Philippines,Philippines,100000,,Philippines,PHL
The second immigration wave,1920,Japan,Japan,10000,,Japan,JPN
"WW1 end, The third immigration wave",1937,Southeast Asia,Singapore,402563,,Singapore,SGP
"WW1 end, The third immigration wave",1937,Southeast Asia,Malaysia,402563,,Malaysia,MYS
"WW1 end, The third immigration wave",1937,Southeast Asia,Thailand,60000,,,
"WW1 end, The third immigration wave",1890,North America,United States of America,107475,,United States of America,US1
"WW1 end, The third immigration wave",1890,North America,United States of America,107475,,United States of America,US1
"WW1 end, The third immigration wave",1890,North America,United States of America,107475,,United States of America,US1
"WW1 end, The third immigration wave",1890,North America,United States of America,107475,,United States of America,US1
"WW1 end, The third immigration wave",1890,North America,United States of America,107475,,United States of America,US1
"WW1 end, The third immigration wave",1890,North America,United States of America,107475,,United States of America,US1
"WW1 end, The third immigration wave",1890,North America,United States of America,107475,,United States of America,US1
"WW1 end, The third immigration wave",1940,North America,United States of America,106334,,United States of America,US1
"WW1 end, The third immigration wave",1940,North America,United States of America,106334,,United States of America,US1
"WW1 end, The third immigration wave",1940,North America,United States of America,106334,,United States of America,US1
"WW1 end, The third immigration wave",1940,North America,United States of America,106334,,United States of America,US1
"WW1 end, The third immigration wave",1940,North America,United States of America,106334,,United States of America,US1
"WW1 end, The third immigration wave",1940,North America,United States of America,106334,,United States of America,US1
"WW1 end, The third immigration wave",1940,North America,United States of America,106334,,United States of America,US1
"WW1 end, The third immigration wave",1950,North America,United States of America,150000,,United States of America,US1
"WW1 end, The third immigration wave",1950,North America,United States of America,150000,,United States of America,US1
"WW1 end, The third immigration wave",1950,North America,United States of America,150000,,United States of America,US1
"WW1 end, The third immigration wave",1950,North America,United States of America,150000,,United States of America,US1
"WW1 end, The third immigration wave",1950,North America,United States of America,150000,,United States of America,US1
"WW1 end, The third immigration wave",1950,North America,United States of America,150000,,United States of America,US1
"WW1 end, The third immigration wave",1950,North America,United States of America,150000,,United States of America,US1
"WW1 end, The third immigration wave",1950,Southeast Asia,Indonesia,3500000,,,
"WW1 end, The third immigration wave",1950,Southeast Asia,Thailand,3000000,,Thailand,THA
"WW1 end, The third immigration wave",1950,Southeast Asia,Singapore,3100000,,Singapore,SGP
"WW1 end, The third immigration wave",1950,Southeast Asia,Malaysia,3100000,,Malaysia,MYS
"WW1 end, The third immigration wave",1950,Southeast Asia,Vietnam,1000000,,Vietnam,VNM
"WW1 end, The third immigration wave",1950,Southeast Asia,Philippines,350000,,,
"WW1 end, The third immigration wave",1950,Southeast Asia,Myanmar,350000,,Myanmar,MMR
"WW1 end, The third immigration wave",1950,Southeast Asia,Cambodia,420000,,Cambodia,KHM
"WW1 end, The third immigration wave",1950,Southeast Asia,Laos,50000,,Laos,LAO
"WW1 end, The third immigration wave",1950,Southeast Asia,Brunei,10000,,Brunei,BRN
"WW1 end, The third immigration wave",1950,Southeast Asia,Japan,60000,,Japan,JPN
"WW1 end, The third immigration wave",1950,Southeast Asia,North Korea,60000,,North Korea,PRK
"WW1 end, The third immigration wave",1950,Southeast Asia,Korea,60000,,,
"WW1 end, The third immigration wave",1950,North America,Canada,32000,,Canada,CAN
"WW1 end, The third immigration wave",1950,South America,South America,100000,,,
"WW1 end, The third immigration wave",1950,Europe,Europe,80000,,,
"WW1 end, The third immigration wave",1950,Aferica,Aferica,50000,,,
"WW1 end, The third immigration wave",1950,Oceania,Oceania,40000,,,
"WW1 end, The third immigration wave",1980,North America,United States of America,150000,Taiwan overseas student,United States of America,US1
